rank,db_name,player_name,n_reps,raw_stickiness,stickiness_std,stickiness_bayesian,avg_phase,avg_reaction,avg_recovery,prior_stickiness,shrinkage_weight
1,1770000175,,4,0.616036495041227,0.2442724224011494,0.4671588684243194,0.7155329012172726,0.6884889649781811,0.35,0.427458167993144,0.2105263157894736
2,1770000154,,5,0.5386091277742568,0.2029129001332105,0.4552459079384222,0.6345985705871869,0.5938968022144355,0.2994829213827682,0.427458167993144,0.25
3,1770000116,Dwight McGlothern,2,0.5734267166761,0.298127909906944,0.444630938426433,0.5603209728005609,0.7792742630528252,0.35,0.427458167993144,0.1176470588235294
4,1770000074,Lideatrick Griffin,7,0.4782003187197078,0.143708833065848,0.443603397769778,0.6978939734757968,0.3814892936161526,0.1988049702830136,0.427458167993144,0.3181818181818182
5,1770000122,Jaylen Key,3,0.5158905284892897,0.2550979084104381,0.4421968947425016,0.4373019610893907,0.5489949665831274,0.6176246240965028,0.427458167993144,0.1666666666666666
6,1770000078,Malik Washington,19,0.4461727167422005,0.1539362084572255,0.4379162981764403,0.4786598180535498,0.5968255633816766,0.2069125184144005,0.427458167993144,0.5588235294117647
7,1770000119,Jaquan Sheppard,1,0.555466851483172,,0.4354587107112707,0.9683955325407426,0.3989628727994592,0.0,0.427458167993144,0.0625
8,1770000080,Zach Heins,18,0.4315129664749914,0.1641066804388992,0.4296698762559698,0.4711844933209248,0.5463782901401922,0.2222658297540703,0.427458167993144,0.5454545454545454
9,1770000079,Tahj Washington,6,0.4319480461633643,0.1534061637443106,0.4287409903274926,0.5059006980722408,0.4421655623245998,0.2865722533339043,0.427458167993144,0.2857142857142857
10,1770000155,,5,0.4296830507023565,0.0692749837772328,0.4280143886704471,0.3903499500345878,0.8467519106226401,0.0,0.427458167993144,0.25
11,1770000150,,6,0.4178874332764176,0.0779500505881344,0.4247236723597936,0.4350819926658276,0.7403351219226506,0.0,0.427458167993144,0.2857142857142857
12,1770000112,Beanie Bishop,1,0.2858699104049328,,0.4186089018938808,0.3019331342331841,0.5,0.0,0.427458167993144,0.0625
13,1770000145,,4,0.3733783572802569,0.0587844146822104,0.4160729446851678,0.3505837684849867,0.7187188715400432,0.0,0.427458167993144,0.2105263157894736
14,1770000132,Mason Fairchild,14,0.3944753073179366,0.1660595348882932,0.4115354076671818,0.3859769669760712,0.5926609380270477,0.171949563082361,0.427458167993144,0.4827586206896552
15,1770000113,M.J. Devonshire,4,0.3362827570271012,0.1964491701243942,0.4082633446318718,0.2113918530552711,0.6282835003933739,0.2106854921368678,0.427458167993144,0.2105263157894736
16,1770000081,Isaac Rex,20,0.381120787752305,0.1742876726991392,0.4009796649983789,0.3624002216728333,0.642896855496782,0.1006865254019816,0.427458167993144,0.5714285714285714
17,1770000176,,7,0.3327215967926135,0.143915899687816,0.3973147135202479,0.2720131594721585,0.4333169117247183,0.3212824060509068,0.427458167993144,0.3181818181818182
18,1770000160,,5,0.2844988069633383,0.1394894525262812,0.3917183277356926,0.1499091295028302,0.5153681967463415,0.2497169586526492,0.427458167993144,0.25
19,1770000131,Joshua Cephus,8,0.2985234167881688,0.1914224117586858,0.3826112980088048,0.2599683339674143,0.5315559390111639,0.0882835391979325,0.427458167993144,0.3478260869565217
