def_rank,rank,db_name,player_name,college_position,n_reps,stickiness_bayesian,avg_phase,avg_reaction,avg_recovery
1,3,1770000116,Dwight McGlothern,DC,2,0.444630938426433,0.5603209728005609,0.7792742630528252,0.35
2,4,1770000074,Lideatrick Griffin,WR,7,0.443603397769778,0.6978939734757968,0.3814892936161526,0.1988049702830136
3,5,1770000122,Jaylen Key,DS,3,0.4421968947425016,0.4373019610893907,0.5489949665831274,0.6176246240965028
4,6,1770000078,Malik Washington,WR,19,0.4379162981764403,0.4786598180535498,0.5968255633816766,0.2069125184144005
5,7,1770000119,Jaquan Sheppard,DC,1,0.4354587107112707,0.9683955325407426,0.3989628727994592,0.0
6,8,1770000080,Zach Heins,TE,18,0.4296698762559698,0.4711844933209248,0.5463782901401922,0.2222658297540703
7,9,1770000079,Tahj Washington,WR,6,0.4287409903274926,0.5059006980722408,0.4421655623245998,0.2865722533339043
8,12,1770000112,Beanie Bishop,DC,1,0.4186089018938808,0.3019331342331841,0.5,0.0
9,14,1770000132,Mason Fairchild,TE,14,0.4115354076671818,0.3859769669760712,0.5926609380270477,0.171949563082361
10,15,1770000113,M.J. Devonshire,DC,4,0.4082633446318718,0.2113918530552711,0.6282835003933739,0.2106854921368678
11,16,1770000081,Isaac Rex,TE,20,0.4009796649983789,0.3624002216728333,0.642896855496782,0.1006865254019816
12,19,1770000131,Joshua Cephus,WR,8,0.3826112980088048,0.2599683339674143,0.5315559390111639,0.0882835391979325
